ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781602698659330929,2026-06-16T16:38:18.659352,prediction,0.170831,-0.055000,-0.010933,True,0.173451,-0.060400,-0.011255,0.002620,0.005400,0.000322,0.00,20,-0.161991,0.280059,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.123340,0.085822,-0.017920,0.028384,-0.018208
1781602698690673334,2026-06-16T16:38:18.690693,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.123340,0.085822,-0.017920,0.028384,-0.018208
1781602698726357351,2026-06-16T16:38:18.726374,prediction,0.170831,-0.055000,-0.010933,True,0.173451,-0.060400,-0.011255,0.002620,0.005400,0.000322,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.123340,0.085822,-0.017920,0.028384,-0.018208
1781602698757078811,2026-06-16T16:38:18.757092,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.123340,0.085822,-0.017920,0.028384,-0.018208
1781602698796220929,2026-06-16T16:38:18.796237,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.123340,0.085822,-0.017920,0.028384,-0.018208
1781602698831288845,2026-06-16T16:38:18.831303,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003920,-0.122360,0.083913,-0.017440,0.026944,-0.017920
1781602698858368317,2026-06-16T16:38:18.858386,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003920,-0.121520,0.083913,-0.017440,0.026720,-0.017824
1781602698890789884,2026-06-16T16:38:18.890806,prediction,0.169898,-0.036000,-0.009800,True,0.173451,-0.060400,-0.011255,0.003553,0.024400,0.001455,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003920,-0.121100,0.084079,-0.016704,0.026112,-0.018144
1781602698923191395,2026-06-16T16:38:18.923209,prediction,0.169898,-0.036000,-0.009800,True,0.173451,-0.060400,-0.011255,0.003553,0.024400,0.001455,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.002178,0.000000,0.000000,0.003051,0.011340,-0.119560,0.108564,-0.000064,0.022880,-0.036864
1781602698957741353,2026-06-16T16:38:18.957754,prediction,0.169456,-0.027000,-0.009263,True,0.173451,-0.060400,-0.011255,0.003995,0.033400,0.001992,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.008289,0.000000,0.021375,0.079940,-0.109060,0.187995,0.039904,0.002848,-0.039520
1781602698990997262,2026-06-16T16:38:18.991014,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.008289,0.000000,0.021375,0.079940,-0.109060,0.187995,0.039904,0.002848,-0.039520
1781602699024407253,2026-06-16T16:38:19.024423,prediction,0.170831,-0.055000,-0.010933,True,0.173451,-0.060400,-0.011255,0.002620,0.005400,0.000322,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.008289,0.000000,0.021375,0.079940,-0.109060,0.187995,0.039904,0.002848,-0.039520
1781602699064799292,2026-06-16T16:38:19.064818,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.008289,0.000000,0.021375,0.079940,-0.109060,0.187995,0.039904,0.002848,-0.039520
1781602699101073616,2026-06-16T16:38:19.101091,prediction,0.170831,-0.055000,-0.010933,True,0.173451,-0.060400,-0.011255,0.002620,0.005400,0.000322,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.008289,0.000000,0.021375,0.079940,-0.109060,0.187995,0.039904,0.002848,-0.039520
1781602699135674438,2026-06-16T16:38:19.135700,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.014831,0.001744,0.027919,0.072857,0.018756,0.086386,0.077700,-0.036540,0.183513,0.023552,-0.046752,-0.043584
1781602699168167068,2026-06-16T16:38:19.168188,prediction,0.169898,-0.036000,-0.009800,True,0.173451,-0.060400,-0.011255,0.003553,0.024400,0.001455,0.00,20,-0.161988,0.280061,0.378524,0.013087,0.001744,0.026179,0.069807,0.016137,0.083335,0.078400,-0.032480,0.180608,0.021280,-0.047200,-0.040864
1781602699195330535,2026-06-16T16:38:19.195349,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.009598,0.001307,0.020506,0.059340,0.013517,0.067188,0.067760,-0.029400,0.179529,0.016544,-0.045312,-0.036736
1781602699231597889,2026-06-16T16:38:19.231614,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.008285,0.001744,0.016580,0.043193,0.010898,0.051482,0.064120,-0.030660,0.173885,0.016032,-0.044640,-0.034176
1781602699257252332,2026-06-16T16:38:19.257267,prediction,0.171274,-0.064000,-0.011470,True,0.173451,-0.060400,-0.011255,0.002177,0.003600,0.000215,0.00,20,-0.161988,0.280061,0.378524,0.004796,0.000000,0.009599,0.023995,0.008289,0.027045,0.070280,-0.029400,0.167328,0.015104,-0.044320,-0.032288
1781602699292046070,2026-06-16T16:38:19.292064,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.003051,0.000000,0.005234,0.013517,0.005228,0.016137,0.075880,-0.029120,0.165253,0.015424,-0.044256,-0.031904
1781602699324370363,2026-06-16T16:38:19.324384,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073360,-0.033460,0.162514,0.013760,-0.039520,-0.029440
1781602699357694957,2026-06-16T16:38:19.357713,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068460,-0.035560,0.142594,0.005920,-0.036800,-0.021152
1781602699391372615,2026-06-16T16:38:19.391387,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068460,-0.035560,0.142594,0.005920,-0.036800,-0.021152
1781602699423512420,2026-06-16T16:38:19.423524,prediction,0.169898,-0.036000,-0.009800,True,0.173451,-0.060400,-0.011255,0.003553,0.024400,0.001455,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068460,-0.035560,0.142594,0.005920,-0.036800,-0.021152
1781602699458150525,2026-06-16T16:38:19.458163,prediction,0.171274,-0.064000,-0.011470,True,0.173451,-0.060400,-0.011255,0.002177,0.003600,0.000215,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063140,-0.037380,0.127073,-0.001504,-0.033728,-0.014208
1781602699490744052,2026-06-16T16:38:19.490761,prediction,0.170831,-0.055000,-0.010933,True,0.173451,-0.060400,-0.011255,0.002620,0.005400,0.000322,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.002609,0.002609,0.000000,0.011340,-0.053900,0.038180,-0.046752,-0.006528,0.019488
1781602699529353753,2026-06-16T16:38:19.529374,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.002609,0.000000,0.000000,0.001120,-0.055720,0.021331,-0.049152,-0.001568,0.019552
1781602699562696634,2026-06-16T16:38:19.562714,prediction,0.170831,-0.055000,-0.010933,True,0.173451,-0.060400,-0.011255,0.002620,0.005400,0.000322,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,-0.009240,-0.060760,0.011869,-0.050272,0.001504,0.019104
1781602699594792383,2026-06-16T16:38:19.594816,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,-0.009240,-0.060760,0.011869,-0.050272,0.001504,0.019104
1781602699629001970,2026-06-16T16:38:19.629028,prediction,0.169898,-0.036000,-0.009800,True,0.173451,-0.060400,-0.011255,0.003553,0.024400,0.001455,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,-0.009240,-0.060760,0.011869,-0.050272,0.001504,0.019104
1781602699659157758,2026-06-16T16:38:19.659175,prediction,0.169898,-0.036000,-0.009800,True,0.173451,-0.060400,-0.011255,0.003553,0.024400,0.001455,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,-0.009240,-0.060760,0.011869,-0.050272,0.001504,0.019104
1781602699698200453,2026-06-16T16:38:19.698219,prediction,0.170831,-0.055000,-0.010933,True,0.173451,-0.060400,-0.011255,0.002620,0.005400,0.000322,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,-0.009240,-0.060760,0.011869,-0.050272,0.001504,0.019104
1781602699731655083,2026-06-16T16:38:19.731677,prediction,0.170340,-0.045000,-0.010337,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.000919,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.002609,0.000000,0.000000,-0.013860,-0.062580,0.008632,-0.050432,0.003008,0.018656
1781602699759374275,2026-06-16T16:38:19.759392,prediction,0.170340,-0.045000,-0.006437,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.004819,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.002609,0.000000,0.000000,-0.013860,-0.062580,0.008632,-0.050432,0.003008,0.018656
1781602699793879266,2026-06-16T16:38:19.793898,prediction,0.170831,-0.055000,-0.003100,True,0.173451,-0.060400,-0.011255,0.002620,0.005400,0.008156,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.002609,0.000000,0.000000,-0.013860,-0.062580,0.008632,-0.050432,0.003008,0.018656
1781602699836282959,2026-06-16T16:38:19.836305,prediction,0.170340,-0.045000,-0.002536,True,0.173451,-0.060400,-0.011255,0.003111,0.015400,0.008719,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.002609,0.000000,0.000000,-0.013860,-0.062580,0.008632,-0.050432,0.003008,0.018656
1781602699888094155,2026-06-16T16:38:19.888110,prediction,0.170831,-0.055000,0.000817,True,0.173451,-0.060400,-0.011255,0.002620,0.005400,0.012072,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065100,-0.098840,0.049053,-0.050944,0.017440,0.013536
1781602699919465361,2026-06-16T16:38:19.919480,prediction,0.161725,-0.027000,0.002349,True,0.173451,-0.060400,-0.011255,0.011726,0.033400,0.013604,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.066220,-0.103180,0.053867,-0.050048,0.018048,0.012864
1781602699953402016,2026-06-16T16:38:19.953426,prediction,0.161312,-0.018000,0.002842,True,0.173451,-0.060400,-0.011255,0.012139,0.042400,0.014097,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065380,-0.106540,0.059677,-0.049312,0.018656,0.013152
1781602699987523445,2026-06-16T16:38:19.987544,prediction,0.160487,-0.000000,0.007653,True,0.173451,-0.060400,-0.011255,0.012964,0.060400,0.018908,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065380,-0.106540,0.059677,-0.049312,0.018656,0.013152
1781602700022987427,2026-06-16T16:38:20.023013,prediction,0.156666,-0.000000,0.019132,True,0.173451,-0.060400,-0.011255,0.016785,0.060400,0.030388,0.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065380,-0.106540,0.059677,-0.049312,0.018656,0.013152
1781602700066491579,2026-06-16T16:38:20.066512,prediction,0.156666,-0.000000,0.030611,True,0.167194,-0.052400,-0.003255,0.010528,0.052400,0.033867,4.49,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065380,-0.106540,0.059677,-0.049312,0.018656,0.013152
